timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1444416178335,4,169 /ajax/IssueArchive.cfc,200,Thread Group 1-1,TRUE,2943,1,1,4,0,0,ubuntu
1444416178340,4,168 /ajax/IssueYear.cfc,200,Thread Group 1-1,TRUE,1835,1,1,4,0,0,ubuntu
1444416176652,1688,Issue,,Thread Group 1-1,FALSE,808247,1,1,208,0,0,ubuntu
1444416178344,1039,101 /cmp/upfront/sessions,200,Thread Group 1-1,TRUE,12005,1,1,445,0,0,ubuntu
1444416179383,46,103 /issues/10_12_15,200,Thread Group 1-1,TRUE,9148,1,1,46,0,0,ubuntu
1444416179430,45,104 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,45,0,0,ubuntu
1444416179476,50,105 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416179527,184,122 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,184,0,0,ubuntu
1444416179712,164,130 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416179877,170,132 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416178344,1698,Send User/Pass,200,Thread Group 1-1,TRUE,68468,1,1,767,0,0,ubuntu
1444416180048,3279,137 /Videos,200,Thread Group 1-1,TRUE,764047,1,1,47,0,0,ubuntu
1444416183328,47,138 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,46,0,0,ubuntu
1444416183375,48,139 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,45,0,0,ubuntu
1444416183424,209,142 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,596,1,1,209,0,0,ubuntu
1444416183634,46,144 /ajax/videoArchive.cfc,200,Thread Group 1-1,TRUE,2048,1,1,46,0,0,ubuntu
1444416180048,3629,Videos,200,Thread Group 1-1,TRUE,813043,1,1,393,0,0,ubuntu
1444416183681,58,193 /issues/vIssue/Printables,200,Thread Group 1-1,TRUE,8611,1,1,57,0,0,ubuntu
1444416183740,47,194 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,46,0,0,ubuntu
1444416183788,192,195 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,124,0,0,ubuntu
1444416183981,603,203 /resource/services/coverthumb.cfm,200,Thread Group 1-1,TRUE,67512,1,1,412,0,0,ubuntu
1444416184585,226,212 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,596,1,1,226,0,0,ubuntu
